policy_id,policy_label,target_id,target_label,repeat_index,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,selection_score,best_clip,baseline_clip,best_dinov2,baseline_dinov2
hard_cooldown,hard incumbent cooldown,cat_portrait_bw,Black-and-white cat portrait,0,ses_cb03c4ca4daa,rnd_ef92b78cb7a0,3,cand_6c8afc43e93c,lateral_plus,5,0.856955,0.87163,0.858384,0.432802,0.40229
hard_cooldown,hard incumbent cooldown,cat_portrait_bw,Black-and-white cat portrait,0,ses_cb03c4ca4daa,rnd_0ebcd46e6103,4,cand_992169c232e5,incumbent,5,0.856955,0.856955,0.858384,0.654137,0.40229
hard_cooldown,hard incumbent cooldown,cat_portrait_bw,Black-and-white cat portrait,0,ses_cb03c4ca4daa,rnd_fdccdd09c399,5,cand_026a27a90779,lateral_minus,5,0.890628,0.890628,0.858384,0.624554,0.40229
hard_cooldown,hard incumbent cooldown,cat_portrait_bw,Black-and-white cat portrait,0,ses_cb03c4ca4daa,rnd_2e71f48e4d70,6,cand_1106744aaef8,incumbent,5,0.890628,0.890628,0.858384,0.596889,0.40229
hard_cooldown,hard incumbent cooldown,mountain_lake,Mountain lake landscape,0,ses_06d79bbef8c7,rnd_1948f5290286,1,cand_07c2c023ec46,counter_probe,5,0.818609,0.818609,0.749741,0.394118,0.311382
hard_cooldown,hard incumbent cooldown,mountain_lake,Mountain lake landscape,0,ses_06d79bbef8c7,rnd_6d3bed3c3c87,2,cand_6adb8a623e87,forward_escape,5,0.825244,0.825244,0.749741,0.516148,0.311382
hard_cooldown,hard incumbent cooldown,mountain_lake,Mountain lake landscape,0,ses_06d79bbef8c7,rnd_47caf0a43429,3,cand_671ac6185b1a,counter_probe,5,0.845383,0.845383,0.749741,0.516148,0.311382
hard_cooldown,hard incumbent cooldown,mountain_lake,Mountain lake landscape,0,ses_06d79bbef8c7,rnd_af1ad8bc9dea,4,cand_233646130ee1,incumbent,5,0.845383,0.845383,0.749741,0.507978,0.311382
hard_cooldown,hard incumbent cooldown,mountain_lake,Mountain lake landscape,0,ses_06d79bbef8c7,rnd_d5fe58bcb219,5,cand_8bbf72443e5c,counter_probe,5,0.822388,0.845383,0.749741,0.457148,0.311382
hard_cooldown,hard incumbent cooldown,mountain_lake,Mountain lake landscape,0,ses_06d79bbef8c7,rnd_c126d46b608b,6,cand_aa2108a90bda,incumbent,5,0.822388,0.822388,0.749741,0.424085,0.311382
hard_cooldown,hard incumbent cooldown,red_bicycle,Red bicycle street photo,0,ses_d6b574cb813a,rnd_97a5e915477d,1,cand_a95161024480,baseline_prompt,5,0.893214,0.893214,0.893214,0.709108,0.692659
hard_cooldown,hard incumbent cooldown,red_bicycle,Red bicycle street photo,0,ses_d6b574cb813a,rnd_42c0a098cc15,2,cand_5735efb527d8,incumbent,5,0.893214,0.893214,0.893214,0.717344,0.692659
hard_cooldown,hard incumbent cooldown,red_bicycle,Red bicycle street photo,0,ses_d6b574cb813a,rnd_f9993496448b,3,cand_90a3fc0823a5,lateral_plus,5,0.87984,0.893214,0.893214,0.692659,0.692659
hard_cooldown,hard incumbent cooldown,red_bicycle,Red bicycle street photo,0,ses_d6b574cb813a,rnd_da484b1226b1,4,cand_2e4caec744f1,incumbent,5,0.87984,0.87984,0.893214,0.700748,0.692659
hard_cooldown,hard incumbent cooldown,red_bicycle,Red bicycle street photo,0,ses_d6b574cb813a,rnd_74bcd1644aef,5,cand_32ad851d9f0f,lateral_minus,5,0.85575,0.87984,0.893214,0.680892,0.692659
hard_cooldown,hard incumbent cooldown,red_bicycle,Red bicycle street photo,0,ses_d6b574cb813a,rnd_49e6a0a86586,6,cand_0f2e0bb6b080,incumbent,5,0.85575,0.85575,0.893214,0.682922,0.692659
