slice_id,policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_clip,best_dinov2,baseline_clip,baseline_dinov2,sampler,updater,feedback_mode
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,mountain_lake,Mountain lake landscape,ses_afeb01505601,rnd_3ffa28d44861,1,cand_00458f5c2138,0.827355,0.545536,0.80859,0.440781,diversity_shell,bradley_terry_preference,top_k
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,mountain_lake,Mountain lake landscape,ses_afeb01505601,rnd_ea670e243b64,2,cand_a22102438686,0.855782,0.618,0.80859,0.440781,diversity_shell,bradley_terry_preference,top_k
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,mountain_lake,Mountain lake landscape,ses_afeb01505601,rnd_6788df83c983,3,cand_d5967f116976,0.855782,0.618,0.80859,0.440781,diversity_shell,bradley_terry_preference,top_k
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,mountain_lake,Mountain lake landscape,ses_afeb01505601,rnd_9671ffd576a0,4,cand_3fbb86ca7ca2,0.855782,0.618,0.80859,0.440781,diversity_shell,bradley_terry_preference,top_k
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,mountain_lake,Mountain lake landscape,ses_afeb01505601,rnd_cc75f4ee7c71,5,cand_0efd466d2cb0,0.855782,0.618,0.80859,0.440781,diversity_shell,bradley_terry_preference,top_k
oracle_slice,clip_only,CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_df9a81801b1d,rnd_7b238d09ecd5,1,cand_df2767b4df35,0.838159,0.544437,0.797649,0.43206,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_only,CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_df9a81801b1d,rnd_2445e373d003,2,cand_048761109ed1,0.838159,0.544437,0.797649,0.43206,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_only,CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_df9a81801b1d,rnd_3bc70eb4d3bf,3,cand_d777545d0bd2,0.838159,0.544437,0.797649,0.43206,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_only,CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_df9a81801b1d,rnd_25491bfa8051,4,cand_d541e456ed55,0.838159,0.544437,0.797649,0.43206,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_only,CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_df9a81801b1d,rnd_6f26875c09b6,5,cand_ba42363e4f66,0.838159,0.544437,0.797649,0.43206,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,mountain_lake,Mountain lake landscape,ses_9025cb539dda,rnd_b29fb5c7925d,1,cand_e4e47dce16c7,0.817084,0.513349,0.799526,0.518053,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,mountain_lake,Mountain lake landscape,ses_9025cb539dda,rnd_7443a56eaf73,2,cand_e621ff4935a4,0.819272,0.622252,0.799526,0.518053,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,mountain_lake,Mountain lake landscape,ses_9025cb539dda,rnd_bbd8a1ff107c,3,cand_7ee4062a41a9,0.852493,0.622252,0.799526,0.518053,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,mountain_lake,Mountain lake landscape,ses_9025cb539dda,rnd_0bb584330305,4,cand_32757b227a53,0.852493,0.622252,0.799526,0.518053,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,mountain_lake,Mountain lake landscape,ses_9025cb539dda,rnd_acb9c5a57275,5,cand_50afcf25d647,0.852493,0.622252,0.799526,0.518053,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,mountain_lake,Mountain lake landscape,ses_94d60491b6c7,rnd_e26e9e08469d,1,cand_b1786b7220ee,0.847009,0.606057,0.843609,0.538689,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,mountain_lake,Mountain lake landscape,ses_94d60491b6c7,rnd_f8194b9ec73d,2,cand_7f60b8c407c2,0.847009,0.606057,0.843609,0.538689,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,mountain_lake,Mountain lake landscape,ses_94d60491b6c7,rnd_a2a052ca7556,3,cand_5b66be4484f3,0.847009,0.606057,0.843609,0.538689,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,mountain_lake,Mountain lake landscape,ses_94d60491b6c7,rnd_6998554582ee,4,cand_1e0d7611ba63,0.847009,0.606057,0.843609,0.538689,annealed_shell,softmax_preference,scalar_rating
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,mountain_lake,Mountain lake landscape,ses_94d60491b6c7,rnd_dbea6035cc54,5,cand_c695efa32727,0.847009,0.606057,0.843609,0.538689,annealed_shell,softmax_preference,scalar_rating
sampler_slice,diversity_shell,Diversity shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_7a54882212db,rnd_2cd7bf9a01c3,1,cand_497f7ec9ab91,0.853651,0.244797,0.831606,0.340353,diversity_shell,softmax_preference,scalar_rating
sampler_slice,diversity_shell,Diversity shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_7a54882212db,rnd_04b0e7fe8fb2,2,cand_ee635d4827cc,0.882646,0.39833,0.831606,0.340353,diversity_shell,softmax_preference,scalar_rating
sampler_slice,diversity_shell,Diversity shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_7a54882212db,rnd_f95e378a49d1,3,cand_9d89d8cc3357,0.882646,0.39833,0.831606,0.340353,diversity_shell,softmax_preference,scalar_rating
sampler_slice,diversity_shell,Diversity shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_7a54882212db,rnd_a3c9ff0519d8,4,cand_feb544ed6b1c,0.882646,0.39833,0.831606,0.340353,diversity_shell,softmax_preference,scalar_rating
sampler_slice,diversity_shell,Diversity shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_7a54882212db,rnd_eabad299e4f6,5,cand_29155dc3538e,0.882646,0.39833,0.831606,0.340353,diversity_shell,softmax_preference,scalar_rating
sampler_slice,line_search,Line search,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_dcf7f0f23060,rnd_c75187f84875,1,cand_6c96be5afd0f,0.863364,0.498609,0.863364,0.498609,line_search,softmax_preference,scalar_rating
sampler_slice,line_search,Line search,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_dcf7f0f23060,rnd_adce5fb7d707,2,cand_854804a7002b,0.867266,0.498609,0.863364,0.498609,line_search,softmax_preference,scalar_rating
