policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,rnd_e444bb386c42,1,cand_29621da45228,baseline_prompt,5,0.796458,0.787291,0.425545,0.425545,0.975036,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,rnd_3f7c73f2dae9,2,cand_62c8fc31923d,qd_far_cover_1,5,0.801561,0.787291,0.425545,0.425545,0.939136,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,rnd_b1e51bc6ba0f,3,cand_e7bb6d63a18c,qd_lateral_plus,5,0.828985,0.787291,0.432497,0.425545,0.955807,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,rnd_b5f00a262c62,4,cand_56f374386391,qd_far_cover_1,5,0.850963,0.787291,0.511185,0.425545,0.969616,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,rnd_eb69430e5385,5,cand_5c55c7312501,incumbent,5,0.84695,0.787291,0.511185,0.425545,0.9216,True
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,rnd_dc33ffab386d,6,cand_2d9d27a58a6f,qd_forward,5,0.84695,0.787291,0.511185,0.425545,0.927829,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,rnd_1d275dc52430,1,cand_10f091e0b773,baseline_prompt,5,0.85001,0.848353,0.335582,0.335582,0.994781,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,rnd_e1d45c0026ba,2,cand_ecfa919a404d,qd_far_cover_1,5,0.861477,0.848353,0.335582,0.335582,0.904465,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,rnd_b42505fc533f,3,cand_120e5e5caaf0,qd_far_cover_1,5,0.883369,0.848353,0.306872,0.335582,0.938811,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,rnd_bf830c7006a6,4,cand_a8e4c6ed543e,qd_forward,5,0.855807,0.848353,0.506601,0.335582,0.955649,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,rnd_d6eb8d8da8de,5,cand_12e8cb558ab1,qd_refine,5,0.873533,0.848353,0.428038,0.335582,0.926221,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,rnd_b291bc129942,6,cand_c563aef2a436,qd_forward,5,0.873533,0.848353,0.424125,0.335582,0.97455,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,rnd_75c2dd0544ab,1,cand_81d869001e30,qd_forward,5,0.910931,0.879657,0.74113,0.652265,1.0,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,rnd_6495911fc4bd,2,cand_4c651c41c0e2,incumbent,5,0.910931,0.879657,0.74113,0.652265,0.9216,True
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,rnd_e79d3dc677e2,3,cand_ac0cbc7c7fcd,incumbent,5,0.910931,0.879657,0.74113,0.652265,0.9216,True
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,rnd_77f66912d002,4,cand_ade21bef6f8a,incumbent,5,0.910931,0.879657,0.74113,0.652265,0.9216,True
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,rnd_cf9bed31a3bf,5,cand_a5c5ba7fc488,qd_refine,5,0.910931,0.879657,0.74113,0.652265,0.924487,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,rnd_4ccbd7d52272,6,cand_f298cf131693,qd_lateral_plus,5,0.881333,0.879657,0.728789,0.652265,0.989033,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,rnd_f88e3010410a,1,cand_8d7c99538081,partial_restart,5,0.825359,0.817569,0.377407,0.375905,0.825359,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,rnd_0989a7c5ab97,2,cand_d20c09e9c138,lateral_restart,5,0.825359,0.817569,0.396429,0.375905,0.666598,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,rnd_8956f259a35e,3,cand_9035933fc7fd,bridge_refine,5,0.797195,0.817569,0.315454,0.375905,0.874706,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,rnd_4a29a4ec0010,4,cand_562307345f61,partial_restart,5,0.837752,0.817569,0.437355,0.375905,0.983509,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,rnd_9284f8e158ec,5,cand_a9c90a3f9148,bridge_refine,5,0.837752,0.817569,0.416463,0.375905,0.819849,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,rnd_29e5664bbdd1,6,cand_ad6f33be395e,bridge_forward,5,0.836607,0.817569,0.528177,0.375905,0.909284,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,rnd_f1cfa7a80d53,1,cand_410877521abf,bridge_forward,5,0.866044,0.815057,0.364388,0.052078,0.866044,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,rnd_795634e1372b,2,cand_53a03d4229f7,partial_restart,5,0.866044,0.815057,0.552415,0.052078,0.782105,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,rnd_67a1846328e8,3,cand_26a86ebad6ab,bridge_forward,5,0.8598,0.815057,0.51336,0.052078,1.0,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,rnd_4eef2b4b66de,4,cand_ee799841cee6,bridge_forward,5,0.881749,0.815057,0.51336,0.052078,0.918237,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,rnd_af57b58233ec,5,cand_3c4ac9e4d15f,bridge_refine,5,0.881749,0.815057,0.427376,0.052078,0.807916,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,rnd_62a0b1890596,6,cand_37ed120b6d5d,bridge_refine,5,0.860798,0.815057,0.489219,0.052078,0.625877,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,rnd_2a230e4ecbde,1,cand_e3216207ad8c,bridge_refine,5,0.884929,0.862929,0.731355,0.644313,0.884929,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,rnd_086ec1851e5d,2,cand_17e5bc22c75c,bridge_forward,5,0.900568,0.862929,0.739413,0.644313,0.89478,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,rnd_57e89e88fcb2,3,cand_e8afdb91b34b,partial_restart,5,0.900568,0.862929,0.698493,0.644313,0.764648,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,rnd_8bc3e9942206,4,cand_50d38354212c,bridge_forward,5,0.908029,0.862929,0.740321,0.644313,0.986915,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,rnd_f1c65633db27,5,cand_0a7c398e6405,bridge_forward,5,0.908029,0.862929,0.687731,0.644313,0.688925,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,rnd_7633035f2254,6,cand_9e36a86d350c,bridge_forward,5,0.88751,0.862929,0.729534,0.644313,0.914422,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,rnd_ac37f2b34633,1,cand_bdbd6371d884,bridge_refine,5,0.803227,0.79014,0.413897,0.234493,0.803227,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,rnd_98b2a679f0c6,2,cand_42eed3ec4350,partial_restart,5,0.823949,0.79014,0.471991,0.234493,0.974669,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,rnd_e9dbeb8bcd2f,3,cand_809114a6670d,incumbent,5,0.823949,0.79014,0.419488,0.234493,0.85,True
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,rnd_eb5af122bb2c,4,cand_08f67a5f52b6,bridge_refine,5,0.825503,0.79014,0.430541,0.234493,0.955505,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,rnd_3e3b99466f98,5,cand_6fd6a3222afd,bridge_refine,5,0.847609,0.79014,0.430541,0.234493,0.904954,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,rnd_0cdb892cf1d2,6,cand_7f0a14a7bd74,incumbent,5,0.847609,0.79014,0.374322,0.234493,0.85,True
