policy_id,policy_label,steering_mode,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_clip,best_dinov2,baseline_clip,baseline_dinov2
token_factorized,Token-factorized offset,token_factorized,red_bicycle,Red bicycle street photo,ses_4f52f71d21b9,rnd_7b55f631e2f4,1,cand_96ce0a4d0abd,0.892107,0.741719,0.852663,0.517846
token_factorized,Token-factorized offset,token_factorized,red_bicycle,Red bicycle street photo,ses_4f52f71d21b9,rnd_1d4fe85319c2,2,cand_f05a5a6cb4ca,0.90775,0.749346,0.852663,0.517846
token_factorized,Token-factorized offset,token_factorized,red_bicycle,Red bicycle street photo,ses_4f52f71d21b9,rnd_dac6f924d3a7,3,cand_9d867f38140c,0.90775,0.749346,0.852663,0.517846
token_factorized,Token-factorized offset,token_factorized,red_bicycle,Red bicycle street photo,ses_4f52f71d21b9,rnd_c5f72e573dad,4,cand_dec6c1bba372,0.90775,0.749346,0.852663,0.517846
token_factorized,Token-factorized offset,token_factorized,red_bicycle,Red bicycle street photo,ses_4f52f71d21b9,rnd_ceb10d244605,5,cand_e9cd97c26f2c,0.90775,0.749346,0.852663,0.517846
token_vector_field,Token-vector-field offset,token_vector_field,red_bicycle,Red bicycle street photo,ses_2e8f8d20b3e5,rnd_5f8c93cd21cd,1,cand_c03dd57d20a3,0.891229,0.758546,0.891229,0.758546
token_vector_field,Token-vector-field offset,token_vector_field,red_bicycle,Red bicycle street photo,ses_2e8f8d20b3e5,rnd_502fb93d1d9c,2,cand_761be84a6cb2,0.891229,0.758546,0.891229,0.758546
token_vector_field,Token-vector-field offset,token_vector_field,red_bicycle,Red bicycle street photo,ses_2e8f8d20b3e5,rnd_1add3acf0acb,3,cand_5b79931edc43,0.922252,0.758546,0.891229,0.758546
token_vector_field,Token-vector-field offset,token_vector_field,red_bicycle,Red bicycle street photo,ses_2e8f8d20b3e5,rnd_b8c0e1cd0721,4,cand_00c243899311,0.922252,0.758546,0.891229,0.758546
token_vector_field,Token-vector-field offset,token_vector_field,red_bicycle,Red bicycle street photo,ses_2e8f8d20b3e5,rnd_b319e7f07ab3,5,cand_a4ee6a6ef546,0.922252,0.758546,0.891229,0.758546
