slice_id,policy_id,policy_label,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_candidate_score,best_seen_score,baseline_score,feedback_mode,sampler,updater
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,mountain_lake,Mountain lake landscape,ses_cf6aa62396c4,rnd_d4bb7b064f1c,5,cand_1c6ddfe2f6f4,0.857129,0.857129,0.815325,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,mountain_lake,Mountain lake landscape,ses_1f1532a89c8b,rnd_6b8e2362bf81,1,cand_1d4fd59a5684,0.821959,0.821959,0.812759,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,mountain_lake,Mountain lake landscape,ses_1f1532a89c8b,rnd_0448759c04f3,2,cand_13cc0c9c60c4,0.833901,0.833901,0.812759,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,mountain_lake,Mountain lake landscape,ses_1f1532a89c8b,rnd_dae0f91fedee,3,cand_331d949ab4eb,0.834495,0.834495,0.812759,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,mountain_lake,Mountain lake landscape,ses_1f1532a89c8b,rnd_de1253c3e45d,4,cand_3c4561e9eb4b,0.834495,0.834495,0.812759,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,mountain_lake,Mountain lake landscape,ses_1f1532a89c8b,rnd_c839066bbd8f,5,cand_b611f21cb677,0.834495,0.834495,0.812759,top_k,exploit_orthogonal,contrastive_preference
sampler_slice,random_local,Random local,cat_portrait_bw,Black-and-white cat portrait,ses_6361be90505e,rnd_829021fadb0f,1,cand_7e36be2ef2da,0.846024,0.846024,0.839868,winner_only,random_local,linear_preference
sampler_slice,random_local,Random local,cat_portrait_bw,Black-and-white cat portrait,ses_6361be90505e,rnd_3e7cce18c581,2,cand_05d6c56330e5,0.871319,0.871319,0.839868,winner_only,random_local,linear_preference
sampler_slice,random_local,Random local,cat_portrait_bw,Black-and-white cat portrait,ses_6361be90505e,rnd_25f05c676407,3,cand_050139962cfd,0.871319,0.871319,0.839868,winner_only,random_local,linear_preference
sampler_slice,random_local,Random local,cat_portrait_bw,Black-and-white cat portrait,ses_6361be90505e,rnd_5b37a08dd8b4,4,cand_5331653db1cf,0.871319,0.871319,0.839868,winner_only,random_local,linear_preference
sampler_slice,random_local,Random local,cat_portrait_bw,Black-and-white cat portrait,ses_6361be90505e,rnd_959c6f885207,5,cand_cc395c34c58c,0.871319,0.871319,0.839868,winner_only,random_local,linear_preference
sampler_slice,exploit_orthogonal,Exploit orthogonal,cat_portrait_bw,Black-and-white cat portrait,ses_bae7610a1064,rnd_a59020db22e9,1,cand_1b06cbb1038d,0.865046,0.865046,0.825485,winner_only,exploit_orthogonal,linear_preference
sampler_slice,exploit_orthogonal,Exploit orthogonal,cat_portrait_bw,Black-and-white cat portrait,ses_bae7610a1064,rnd_c4f1ad610c1a,2,cand_568a99331fb0,0.865046,0.865046,0.825485,winner_only,exploit_orthogonal,linear_preference
sampler_slice,exploit_orthogonal,Exploit orthogonal,cat_portrait_bw,Black-and-white cat portrait,ses_bae7610a1064,rnd_4caf62c3756a,3,cand_a16c53839afe,0.865046,0.865046,0.825485,winner_only,exploit_orthogonal,linear_preference
sampler_slice,exploit_orthogonal,Exploit orthogonal,cat_portrait_bw,Black-and-white cat portrait,ses_bae7610a1064,rnd_8f9390542a73,4,cand_827e7de772e3,0.865046,0.865046,0.825485,winner_only,exploit_orthogonal,linear_preference
sampler_slice,exploit_orthogonal,Exploit orthogonal,cat_portrait_bw,Black-and-white cat portrait,ses_bae7610a1064,rnd_6673fbc8bb08,5,cand_859027014b93,0.865046,0.865046,0.825485,winner_only,exploit_orthogonal,linear_preference
sampler_slice,diversity_shell,Diversity shell,cat_portrait_bw,Black-and-white cat portrait,ses_72189e5a0f44,rnd_3c87f594cef0,1,cand_ddcc08c6edbb,0.889121,0.889121,0.812058,winner_only,diversity_shell,linear_preference
sampler_slice,diversity_shell,Diversity shell,cat_portrait_bw,Black-and-white cat portrait,ses_72189e5a0f44,rnd_9b67e4bcefc5,2,cand_1a6250ccbf77,0.889121,0.889121,0.812058,winner_only,diversity_shell,linear_preference
